"date_reported","type","ctar","id_ctar","distcode","commcode","known_cat1","source","no_patients"
2016-06-18,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",5
2016-06-18,"new","Moramanga",8,"MG33314","MG33314130",0,"Moramanga",1
2016-06-20,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-06-20,"new","Moramanga",8,"MG33314","MG33314030",0,"Moramanga",2
2016-06-21,"new","Moramanga",8,"MG33314","MG33314291",0,"Moramanga",1
2016-06-23,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-06-24,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-06-24,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2016-06-27,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-06-28,"new","Moramanga",8,"MG31306","MG31306171",0,"Moramanga",1
2016-06-28,"new","Moramanga",8,"MG33314","MG33314190",0,"Moramanga",1
2016-06-29,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-06-29,"new","Moramanga",8,"MG33314","MG33314070",1,"Moramanga",7
2016-06-30,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-07-01,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-07-02,"new","Moramanga",8,"MG33314","MG33314130",0,"Moramanga",2
2016-07-03,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-07-03,"new","Moramanga",8,"MG33314","MG33314092",0,"Moramanga",1
2016-07-04,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-07-04,"new","Moramanga",8,"MG33314","MG33314070",0,"Moramanga",1
2016-07-04,"new","Moramanga",8,"MG33314","MG33314110",0,"Moramanga",1
2016-07-04,"new","Moramanga",8,NA,NA,0,"Moramanga",1
2016-07-04,"transfer","Moramanga",8,"MG11101","MG11101006",0,"Moramanga",1
2016-07-05,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",2
2016-07-06,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",4
2016-07-07,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",3
2016-07-07,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",2
2016-07-07,"new","Moramanga",8,"MG33314","MG33314270",1,"Moramanga",1
2016-07-08,"new","Moramanga",8,"MG31306","MG31306172",0,"Moramanga",1
2016-07-08,"new","Moramanga",8,"MG33314","MG33314010",1,"Moramanga",3
2016-07-08,"new","Moramanga",8,NA,NA,1,"Moramanga",1
2016-07-09,"new","Moramanga",8,"MG33314","MG33314010",0,"Moramanga",1
2016-07-09,"new","Moramanga",8,"MG33314","MG33314030",1,"Moramanga",1
